repeat,fold,model,n_masked,auprc,auroc
0,4,drop map,7,0.5456486982062707,0.7931312243702402
0,4,drop temp_c,7,0.5287031401156944,0.8659197422378442
0,4,drop gcs_total,7,0.4315677557306513,0.8332601054481547
0,4,drop fio2,7,0.4281876917385155,0.7489748096074984
0,4,drop glucose,7,0.5170462247196872,0.8106326889279437
0,4,post_discharge_realistic,22,0.3385538714538297,0.8112917398945518
0,4,wrist_only_channels,50,0.30541582724821487,0.7656707674282366
1,0,none (baseline),0,0.5580255999653053,0.8303367579908676
1,0,drop hr,7,0.5233646676645554,0.7729737442922374
1,0,drop rr,7,0.5483763454738992,0.8077197488584474
1,0,drop spo2,7,0.517974119731378,0.8030108447488585
1,0,drop sbp,7,0.5220551853687433,0.8506706621004566
1,0,drop map,7,0.5465472240348332,0.8276255707762558
1,0,drop temp_c,7,0.526367692383986,0.7783961187214613
1,0,drop gcs_total,7,0.46561591410857245,0.8143550228310502
1,0,drop fio2,7,0.47897738437132387,0.837542808219178
1,0,drop glucose,7,0.5655766043164117,0.8070062785388127
1,0,post_discharge_realistic,22,0.2840819404372778,0.7935216894977168
1,0,wrist_only_channels,50,0.20416123235879458,0.6205764840182648
1,1,none (baseline),0,0.5066284725106192,0.8846778959810875
1,1,drop hr,7,0.5271384654733041,0.8546099290780141
1,1,drop rr,7,0.5247320970765539,0.9087618203309693
1,1,drop spo2,7,0.473114598450239,0.8625886524822695
1,1,drop sbp,7,0.47480948663300077,0.8238770685579196
1,1,drop map,7,0.5172572516163035,0.9128989361702129
1,1,drop temp_c,7,0.5632647424374537,0.8921394799054373
1,1,drop gcs_total,7,0.47275705591539924,0.8881501182033097
1,1,drop fio2,7,0.42817538260551036,0.8609633569739952
1,1,drop glucose,7,0.5278439338664097,0.9010786052009456
1,1,post_discharge_realistic,22,0.3689262221954072,0.8325945626477541
1,1,wrist_only_channels,50,0.2603217793354093,0.8540927895981087
1,2,none (baseline),0,0.4287389585373826,0.8068313113807047
1,2,drop hr,7,0.39342304338402795,0.6887637203928364
1,2,drop rr,7,0.41705795762170234,0.7117995378393992
1,2,drop spo2,7,0.3772540026485027,0.66421143847487
1,2,drop sbp,7,0.4052400890079228,0.7163489312536107
1,2,drop map,7,0.41094113197414,0.7569324090121318
1,2,drop temp_c,7,0.41182450524833186,0.8027151935297515
1,2,drop gcs_total,7,0.4389691232298099,0.8410600808781051
1,2,drop fio2,7,0.35628482675284895,0.7095609474292317
1,2,drop glucose,7,0.44299167786358934,0.8105863662622761
1,2,post_discharge_realistic,22,0.24065309813982566,0.6872472559214327
