model,repeat,fold,auroc,auprc,n_test,n_pos_test
wrist_strict,11,1,0.7988327423167848,0.32093709629033873,588,24
wrist_strict,11,2,0.7775852108607741,0.21477068738569194,601,24
wrist_strict,11,3,0.5839958775029446,0.16160839311008945,590,24
wrist_strict,11,4,0.7043353873239437,0.16650224564981284,592,24
wrist_strict,12,0,0.8330032276995305,0.2369088416255516,592,24
wrist_strict,12,1,0.7252072232089994,0.3853534263260451,587,24
wrist_strict,12,2,0.6900100401606426,0.21282678135279276,605,24
wrist_strict,12,3,0.749928530588908,0.2920824387571417,607,24
wrist_strict,12,4,0.5878398345153665,0.08564190550292088,588,24
wrist_strict,13,0,0.8051643192488264,0.1949185984634917,592,24
wrist_strict,13,1,0.7088513913558319,0.26164683583353565,587,24
wrist_strict,13,2,0.701592082616179,0.27283511213317446,605,24
wrist_strict,13,3,0.777229845626072,0.31905367458952344,607,24
wrist_strict,13,4,0.5331338652482269,0.06706689991298824,588,24
wrist_strict,14,0,0.6216374269005848,0.15808845324052168,594,24
wrist_strict,14,1,0.7623496563573884,0.27719754503574,606,24
wrist_strict,14,2,0.7182365023474179,0.23254128770035024,592,24
wrist_strict,14,3,0.7633406432748537,0.3215395123507838,594,24
wrist_strict,14,4,0.6115260691271236,0.11112741337667276,593,24
wrist_strict,15,0,0.872839777387229,0.29123281818441504,593,24
wrist_strict,15,1,0.7285570854847964,0.21565340706486075,605,24
wrist_strict,15,2,0.7032637655417406,0.14053217130511522,587,24
wrist_strict,15,3,0.6479351032448377,0.2854649769610775,589,24
wrist_strict,15,4,0.7154690189328744,0.20641138740149736,605,24
wrist_strict,16,0,0.7890258215962441,0.201645685712242,592,24
wrist_strict,16,1,0.7167702782711664,0.4045898303133922,587,24
wrist_strict,16,2,0.6810456110154905,0.22973798889811317,605,24
wrist_strict,16,3,0.7357061177815896,0.16327334841225016,607,24
wrist_strict,16,4,0.5443631796690307,0.08206122050464049,588,24
wrist_strict,17,0,0.8355758101851851,0.3061294808183465,600,24
wrist_strict,17,1,0.6906453522794554,0.21637215599167292,587,24
wrist_strict,17,2,0.6672869235259777,0.28812766248043997,595,24
wrist_strict,17,3,0.6980082015231401,0.22718795196935349,593,24
wrist_strict,17,4,0.5987068965517242,0.13744188846167138,604,24
wrist_strict,18,0,0.7700737847222223,0.19119435384534586,600,24
wrist_strict,18,1,0.7428952042628775,0.22685127967038768,587,24
wrist_strict,18,2,0.679436660828955,0.3534233186802364,595,24
wrist_strict,18,3,0.7147407732864675,0.2516146038892656,593,24
wrist_strict,18,4,0.591558908045977,0.0905092794013361,604,24
wrist_strict,19,0,0.8707527826596368,0.3669941295084137,593,24
wrist_strict,19,1,0.7834552495697075,0.22479081623555025,605,24
wrist_strict,19,2,0.6676287744227354,0.26312188419478855,587,24
wrist_strict,19,3,0.5730088495575222,0.13963630054841425,589,24
wrist_strict,19,4,0.7306726907630522,0.2267764308830831,605,24
wrist_hr_rule,0,0,0.7043859649122808,0.09141619364671029,594,24
wrist_hr_rule,0,1,0.8298969072164949,0.27041730927303237,606,24
wrist_hr_rule,0,2,0.6539759389671361,0.11782248249231916,592,24
wrist_hr_rule,0,3,0.6365131578947368,0.0787845941012612,594,24
wrist_hr_rule,0,4,0.47781195079086114,0.1880077609101167,593,24
wrist_hr_rule,1,0,0.8261986301369864,0.21744415791171914,608,24
wrist_hr_rule,1,1,0.7239583333333334,0.1333495293149788,588,24
wrist_hr_rule,1,2,0.8420710571923744,0.2762422760063864,601,24
wrist_hr_rule,1,3,0.4342608951707892,0.10502567501967866,590,24
wrist_hr_rule,1,4,0.4565727699530516,0.03795350805116672,592,24
wrist_hr_rule,2,0,0.7196637426900585,0.1018536241927487,594,24
wrist_hr_rule,2,1,0.8243843069873997,0.2775973543956284,606,24
wrist_hr_rule,2,2,0.655699823943662,0.11710847352987883,592,24
wrist_hr_rule,2,3,0.6206140350877193,0.07338591377232032,594,24
wrist_hr_rule,2,4,0.45716168717047456,0.17969051522775334,593,24
wrist_hr_rule,3,0,0.7139619883040935,0.23120884361937435,594,24
wrist_hr_rule,3,1,0.8275343642611683,0.2784761233580025,606,24
wrist_hr_rule,3,2,0.688343603286385,0.1355359724241728,592,24
wrist_hr_rule,3,3,0.6566520467836258,0.0774911421196557,594,24
wrist_hr_rule,3,4,0.37357205623901585,0.039102741008443936,593,24
wrist_hr_rule,4,0,0.8104309360730594,0.20539541153864035,608,24
wrist_hr_rule,4,1,0.7562426122931443,0.17457066058545323,588,24
wrist_hr_rule,4,2,0.8324667822068168,0.4368906936971743,601,24
wrist_hr_rule,4,3,0.41431095406360424,0.03280579366320424,590,24
wrist_hr_rule,4,4,0.4574530516431925,0.05399338703437725,592,24
wrist_hr_rule,5,0,0.7469256365740742,0.14923242038934678,600,24
wrist_hr_rule,5,1,0.786819123741859,0.24790181430180214,587,24
wrist_hr_rule,5,2,0.5794658493870403,0.11734234944425198,595,24
wrist_hr_rule,5,3,0.5938415348564734,0.06024441310833159,593,24
wrist_hr_rule,5,4,0.6529094827586207,0.2451298123889688,604,24
wrist_hr_rule,6,0,0.725425469483568,0.09440294990127013,592,24
wrist_hr_rule,6,1,0.6642613972764949,0.1415821616604462,587,24
wrist_hr_rule,6,2,0.7205966724039014,0.1840233554369856,605,24
wrist_hr_rule,6,3,0.6514794168096054,0.15824273422255014,607,24
wrist_hr_rule,6,4,0.6746823286052009,0.16527796313090187,588,24
