repeat,fold,kit,arm,auprc,auroc
2,0,watch_only,masked_at_inference,0.10673370874884333,0.7570175438596491
2,0,watch_only,dropout_trained,0.18389330038349894,0.7252923976608188
2,0,watch_plus_cuff,masked_at_inference,0.22429995804526592,0.8657894736842106
2,0,watch_plus_cuff,dropout_trained,0.26836565312874106,0.7997076023391813
2,0,full_home,masked_at_inference,0.24238422127352258,0.8702485380116959
2,0,full_home,dropout_trained,0.2730549637389103,0.7866228070175438
2,1,icu_full,masked_at_inference,0.46934863888747597,0.8419243986254294
2,1,icu_full,dropout_trained,0.45717317840286714,0.7519329896907216
2,1,watch_only,masked_at_inference,0.15072571223306655,0.8323310423825889
2,1,watch_only,dropout_trained,0.37367813296327934,0.7553694158075601
2,1,watch_plus_cuff,masked_at_inference,0.3444675356177575,0.9211053837342498
2,1,watch_plus_cuff,dropout_trained,0.42075132663303316,0.7454896907216495
2,1,full_home,masked_at_inference,0.29892331988000753,0.9004152348224513
2,1,full_home,dropout_trained,0.42678448542508074,0.748926116838488
2,2,icu_full,masked_at_inference,0.5673539675893712,0.9155663145539906
2,2,icu_full,dropout_trained,0.2893095702541856,0.8099325117370891
2,2,watch_only,masked_at_inference,0.4478557085288274,0.8714055164319249
2,2,watch_only,dropout_trained,0.19059529551154555,0.7695862676056339
2,2,watch_plus_cuff,masked_at_inference,0.3086108336589392,0.81418720657277
2,2,watch_plus_cuff,dropout_trained,0.2418261551668525,0.7860915492957746
2,2,full_home,masked_at_inference,0.30620762923974976,0.796875
2,2,full_home,dropout_trained,0.24952435206580031,0.7948943661971832
2,3,icu_full,masked_at_inference,0.4052464686869485,0.8076754385964912
2,3,icu_full,dropout_trained,0.36790237084308436,0.8116228070175439
2,3,watch_only,masked_at_inference,0.060715050912241705,0.4679093567251462
2,3,watch_only,dropout_trained,0.33744947824236887,0.7752923976608187
2,3,watch_plus_cuff,masked_at_inference,0.1977471028417135,0.7119152046783626
2,3,watch_plus_cuff,dropout_trained,0.306485091478339,0.7951754385964912
2,3,full_home,masked_at_inference,0.1971726051533826,0.7267543859649123
2,3,full_home,dropout_trained,0.3131580700359185,0.8051900584795321
2,4,icu_full,masked_at_inference,0.5568874305641849,0.8402899824253076
2,4,icu_full,dropout_trained,0.4791375654695341,0.8900117164616286
2,4,watch_only,masked_at_inference,0.3833926067423114,0.7930579964850615
2,4,watch_only,dropout_trained,0.4108803601320896,0.9209138840070299
2,4,watch_plus_cuff,masked_at_inference,0.3585161187493075,0.8676039835969538
2,4,watch_plus_cuff,dropout_trained,0.4295536568960342,0.8987990626830697
2,4,full_home,masked_at_inference,0.3765196253134967,0.8696543643819568
2,4,full_home,dropout_trained,0.4361433712397242,0.9027533684827183
3,0,icu_full,masked_at_inference,0.3926405254575517,0.8652046783625731
3,0,icu_full,dropout_trained,0.2347568648293796,0.6406432748538011
3,0,watch_only,masked_at_inference,0.44116433053020604,0.7472222222222222
3,0,watch_only,dropout_trained,0.13452294061846415,0.5989035087719298
3,0,watch_plus_cuff,masked_at_inference,0.28067822450587987,0.8791666666666667
3,0,watch_plus_cuff,dropout_trained,0.1970710826426907,0.6040204678362573
3,0,full_home,masked_at_inference,0.30798282275641886,0.8836988304093567
3,0,full_home,dropout_trained,0.19996427539086345,0.6115497076023392
3,1,icu_full,masked_at_inference,0.5170484046378682,0.8011168384879725
3,1,icu_full,dropout_trained,0.4198017491407099,0.6176260022909509
3,1,watch_only,masked_at_inference,0.23260430250662006,0.5965063001145476
3,1,watch_only,dropout_trained,0.3831639684199452,0.6249284077892325
3,1,watch_plus_cuff,masked_at_inference,0.38808998594406974,0.8018327605956472
3,1,watch_plus_cuff,dropout_trained,0.38093788265793244,0.6078894616265751
3,1,full_home,masked_at_inference,0.3757563401375408,0.7960337915234822
3,1,full_home,dropout_trained,0.3874649310945559,0.6101804123711341
3,2,icu_full,masked_at_inference,0.5447527796844343,0.9102112676056338
3,2,icu_full,dropout_trained,0.47231917049939076,0.8756602112676056
3,2,watch_only,masked_at_inference,0.11042477010491308,0.6962294600938967
3,2,watch_only,dropout_trained,0.3565429832271412,0.8433098591549295
3,2,watch_plus_cuff,masked_at_inference,0.21396669626472417,0.8097857981220656
3,2,watch_plus_cuff,dropout_trained,0.4109500425622158,0.8651701877934272
3,2,full_home,masked_at_inference,0.21864956249012796,0.7950410798122066
3,2,full_home,dropout_trained,0.4143473206372941,0.8698650234741784
3,3,icu_full,masked_at_inference,0.5203420102719112,0.8817982456140352
3,3,icu_full,dropout_trained,0.3465993463271589,0.7766812865497076
