model,repeat,fold,auroc,auprc,n_test,n_pos_test
discharge_context (new),17,1,0.5128205128205128,0.21426208851434903,48,9
discharge_context (new),17,2,0.5650000000000001,0.23811014873873482,50,10
discharge_context (new),17,3,0.5078947368421053,0.31122635459994874,48,10
discharge_context (new),17,4,0.5541666666666667,0.2702890518058556,52,12
discharge_context (new),18,0,0.6195121951219512,0.2781819425784943,51,10
discharge_context (new),18,1,0.43714821763602246,0.21726087690775775,54,13
discharge_context (new),18,2,0.613157894736842,0.3670064094092771,48,10
discharge_context (new),18,3,0.6487179487179487,0.3986309627942488,49,10
discharge_context (new),18,4,0.42749999999999994,0.26809489486026217,50,10
discharge_context (new),19,0,0.6974358974358975,0.4297169430031319,49,10
discharge_context (new),19,1,0.5304878048780488,0.25343488740948944,53,12
discharge_context (new),19,2,0.46829268292682924,0.27862445492204735,51,10
discharge_context (new),19,3,0.4461538461538461,0.1909745344308983,49,10
discharge_context (new),19,4,0.3333333333333333,0.17252583607248678,50,11
lace_plus (parsimonious),0,0,0.41219512195121955,0.2117005386570604,51,10
lace_plus (parsimonious),0,1,0.5769230769230769,0.2976055969120486,49,10
lace_plus (parsimonious),0,2,0.4525,0.1882337679294201,50,10
lace_plus (parsimonious),0,3,0.6249999999999999,0.3482149817338067,53,12
lace_plus (parsimonious),0,4,0.5095693779904307,0.24591143092252432,49,11
lace_plus (parsimonious),1,0,0.46749999999999997,0.21909513279200526,50,10
lace_plus (parsimonious),1,1,0.5073170731707317,0.20883344348648072,51,10
lace_plus (parsimonious),1,2,0.38974358974358975,0.17866593444215906,49,10
lace_plus (parsimonious),1,3,0.6806526806526807,0.4037789647124686,50,11
lace_plus (parsimonious),1,4,0.565625,0.2954615142420908,52,12
lace_plus (parsimonious),2,0,0.5609756097560975,0.29831672580775,53,12
lace_plus (parsimonious),2,1,0.6132478632478633,0.3180537212352605,51,12
lace_plus (parsimonious),2,2,0.448780487804878,0.18374832064487237,51,10
lace_plus (parsimonious),2,3,0.42222222222222217,0.1798982682539574,49,9
lace_plus (parsimonious),2,4,0.7131578947368421,0.47188055308672416,48,10
lace_plus (parsimonious),3,0,0.5875,0.35874899724078935,52,12
lace_plus (parsimonious),3,1,0.6045454545454545,0.33765474047735183,51,11
lace_plus (parsimonious),3,2,0.35,0.15851748133162574,49,9
lace_plus (parsimonious),3,3,0.49667405764966743,0.21425322109532635,52,11
lace_plus (parsimonious),3,4,0.6921052631578948,0.3824763244885196,48,10
lace_plus (parsimonious),4,0,0.4075,0.1806356892456323,50,10
lace_plus (parsimonious),4,1,0.5736842105263158,0.35864702548913074,48,10
lace_plus (parsimonious),4,2,0.445,0.18396907864748946,50,10
lace_plus (parsimonious),4,3,0.6900000000000001,0.4013631042160454,50,10
lace_plus (parsimonious),4,4,0.6322701688555348,0.37201082778815,54,13
lace_plus (parsimonious),5,0,0.5317073170731708,0.26515725324454464,51,10
lace_plus (parsimonious),5,1,0.725,0.42481772695021336,52,12
lace_plus (parsimonious),5,2,0.433048433048433,0.1738765003299887,48,9
lace_plus (parsimonious),5,3,0.6768292682926829,0.3873852831820925,53,12
lace_plus (parsimonious),5,4,0.5447368421052632,0.22649008628110795,48,10
lace_plus (parsimonious),6,0,0.5314685314685315,0.287699173263515,50,11
lace_plus (parsimonious),6,1,0.45934959349593496,0.22555750663583168,53,12
lace_plus (parsimonious),6,2,0.4097560975609756,0.18263610203923256,51,10
lace_plus (parsimonious),6,3,0.46499999999999997,0.2406390831390831,50,10
lace_plus (parsimonious),6,4,0.7171052631578948,0.4112609286138697,48,10
lace_plus (parsimonious),7,0,0.5625,0.33727133553039146,50,10
lace_plus (parsimonious),7,1,0.5194444444444444,0.19589032903898385,49,9
lace_plus (parsimonious),7,2,0.45731707317073167,0.2115308248020844,53,12
lace_plus (parsimonious),7,3,0.58125,0.28213891526391527,52,12
lace_plus (parsimonious),7,4,0.6210526315789474,0.36337194337194334,48,10
lace_plus (parsimonious),8,0,0.5736842105263158,0.27173747305326257,48,10
lace_plus (parsimonious),8,1,0.6973684210526316,0.47197297542498773,48,10
lace_plus (parsimonious),8,2,0.6230769230769231,0.31398964583175115,49,10
lace_plus (parsimonious),8,3,0.3568181818181818,0.19807173024917238,51,11
lace_plus (parsimonious),8,4,0.6060606060606061,0.28701645318002383,56,12
lace_plus (parsimonious),9,0,0.7131578947368422,0.356960075528187,48,10
lace_plus (parsimonious),9,1,0.6386946386946387,0.45590242866165265,50,11
lace_plus (parsimonious),9,2,0.42,0.18559931850324668,50,10
